Voltage,Current density,External Quantum Efficiency,EL Intensity/Detector output,Photons/s/sr,Radiance
V,mA/cm\+(2),%,V,,W Sr\+(-1)m\+(-2)\+()\+()
0,-4.530292E-4,--,5.807748E-7,21450499.2614476,1.3336772385878E-6
0.1,-4.540342E-4,--,1.85298E-8,684384.807976366,4.25513844553644E-8
0.2,-4.566997E-4,--,5.593428E-7,20658920.2363368,1.28446109142655E-6
0.3,-4.592574E-4,--,5.686888E-7,21004111.521418,1.30592323803025E-6
0.4,-4.581875E-4,--,3.709517E-6,137008286.558346,8.51844197441072E-6
0.5,-4.57399E-4,--,1.382741E-6,51070538.4047267,3.17529274272994E-6
0.6,-4.5611E-4,--,2.192629E-6,80983163.9586411,5.03509970392993E-6
0.7,-4.54581E-4,--,1.240854E-6,45830040.620384,2.84946663823413E-6
0.8,-4.55966E-4,--,3.273869E-6,120917954.209749,7.5180312262467E-6
0.9,-4.516232E-4,--,2.041544E-6,75402947.562777,4.68815171438201E-6
1,-4.48881E-4,--,7.516177E-6,277604534.711965,1.72599641976408E-5
1.1,-4.435021E-4,--,5.400779E-6,199473862.629247,1.24022171716978E-5
1.2,-4.559896E-4,--,5.463207E-6,201779586.410635,1.25455747359311E-5
1.3,-4.445467E-4,--,6.267481E-6,231484874.446086,1.43924905599268E-5
1.4,-4.423513E-4,--,3.966815E-6,146511440.177253,9.10929720448541E-6
1.5,-4.383429E-4,--,6.010982E-6,222011292.466765,1.38034739361308E-5
1.6,-4.391028E-4,--,5.815226E-6,214781218.611521,1.33539466399817E-5
1.7,-4.337398E-4,--,4.225747E-6,156074889.217134,9.70390128112843E-6
1.8,-4.308679E-4,--,4.567211E-6,168686617.429838,1.04880310420039E-5
1.9,-4.289607E-4,--,5.402451E-6,199535598.227474,1.24060555607797E-5
2,-4.287256E-4,--,4.670537E-6,172502895.125554,1.07253067639753E-5
2.1,-4.021708E-4,--,6.352092E-6,234609963.072378,1.45867918448832E-5
2.2,-4.240029E-4,--,4.476019E-6,165318522.895126,1.02786209502569E-5
2.3,-4.205657E-4,--,5.175466E-6,191152134.416544,1.1884816650259E-5
2.4,-4.154279E-4,--,6.806206E-6,251382267.355982,1.56296039579753E-5
2.5,-4.05098E-4,--,5.067653E-6,187170140.324963,1.16372375697256E-5
2.6,-4.107537E-4,--,8.160784E-6,301412680.945347,1.87402273065513E-5
2.7,-4.149133E-4,--,5.224657E-5,1929689660.26588,1.19977775158841E-4
2.8,-4.094724E-4,--,2.248219E-5,830363478.581979,5.1627556899328E-5
2.9,-4.002452E-4,--,3.879112E-5,1432721935.00739,8.90789818295296E-5
3,-3.969431E-4,--,7.747723E-5,2861565952.73264,1.77916855517507E-4
3.1,-3.940513E-4,--,7.159077E-5,2644153914.32792,1.64399338583228E-4
3.2,-3.7178E-4,--,7.534077E-5,2782656720.82718,1.73010701808725E-4
3.3,-3.419359E-4,--,7.253355E-5,2678974519.94092,1.66564297476439E-4
3.4,-2.757202E-4,--,9.552E-5,3527961890.69424,2.19349788313812E-4
3.5,-1.298961E-4,--,1.406908E-4,5196312186.11521,3.23078880484324E-4
3.6,1.15522E-4,--,2.129286E-4,7864362481.53619,4.88963968147794E-4
3.7,5.163697E-4,26.5245854197349,3.325164E-4,12281255539.1433,7.6358273876048E-4
3.8,0.001115351,18.8160927835052,5.095009E-4,18818047267.356,0.00117000546277488
3.9,0.001936697,16.1898726067747,7.612175E-4,28115015509.6012,0.0017480411896561
4,0.003026881,14.9642827687776,0.001099652,40614841949.7784,0.00252521349722679
4.1,0.004428052,14.210617820324,0.00152767,56423389217.1344,0.00350810435718476
4.2,0.006173165,13.7737488954345,0.002064257,76241831610.0443,0.00474030903463915
4.3,0.008325445,13.4402194403535,0.002716549,100333788774.003,0.00623821798822477
4.4,0.01088262,13.2663659793814,0.003505008,129454940915.805,0.0080488153687145
4.5,0.01392278,13.1322974963181,0.004438847,163945649926.145,0.0101932630568165
4.6,0.01751792,13.0322032400589,0.005542481,204707562776.957,0.0127276206355296
4.7,0.02167927,12.9423136966127,0.006811773,251587924667.651,0.0156423906289138
4.8,0.02651947,12.851706185567,0.008274265,305603980797.637,0.0190008198990576
4.9,0.03197055,12.8193880706922,0.009949955,367494446085.672,0.0228488377859238
5,0.03824686,12.7774396170839,0.01186433,438200620384.047,0.0272449692763851
5.1,0.04533702,12.740851988218,0.01402346,517946499261.448,0.0322031412160526
5.2,0.05330231,12.7019668630339,0.01643693,607086270310.192,0.037745375093765
5.3,0.06221471,12.6690552282769,0.01913556,706757961595.273,0.0439424274037489
5.4,0.07222878,12.6290979381443,0.02214555,817930044313.146,0.0508545125016331
5.5,0.08342387,12.5918976435935,0.02550264,941921720827.179,0.0585636513298521
5.6,0.0958404,12.5512319587629,0.02920375,1078619793205.32,0.0670628058468388
5.7,0.1095386,12.51091089838,0.03327054,1228823559822.75,0.0764016721476273
5.8,0.1246513,12.466559646539,0.03772657,1393403175775.48,0.0866343518189194
5.9,0.1413694,12.4171921944035,0.04261698,1574027326440.18,0.0978645947864439
6,0.1596628,12.3656229749632,0.04793176,1770325406203.84,0.110069358776708
6.1,0.1796521,12.3111723122239,0.05369522,1983194165435.75,0.123304398928163
6.2,0.201377,12.2583394698085,0.05993012,2213475627769.57,0.137622067763746
6.3,0.2252386,12.1953593519882,0.06668698,2463035302806.5,0.153138352686042
6.4,0.2505675,12.144881443299,0.07387911,2728671196454.95,0.169654170839869
6.5,0.2886605,11.6482584683358,0.08163046,3014962112259.97,0.187454207723386
6.6,0.3155118,11.7375449189985,0.08990763,3320673338257.02,0.206461695554955
6.7,0.3468464,11.7277614138439,0.09875427,3647417872968.98,0.226776921949778
6.8,0.3832162,11.6185058910162,0.1080931,3992341285081.24,0.248222413645952
6.9,0.4422128,10.9882164948454,0.1179674,4357042171344.17,0.270897562833545
7,0.461154,11.4640567010309,0.1283476,4740426957163.96,0.294734376897248
7.1,0.5144414,11.1502761413844,0.1392596,5143452880354.5,0.319792371761083
7.2,0.5968626,10.4014167893962,0.1507199,5566730576070.9,0.346109513450808
7.3,0.644437,10.3940839469809,0.1626186,6006201624815.36,0.373433471163168
7.4,0.6876422,10.4809771723122,0.1749718,6462458419497.78,0.401801076718747
7.5,0.743779,10.3975206185567,0.1877489,6934369940915.8,0.431142009396884
7.6,0.7835934,10.5629212076583,0.2009457,7421782570162.48,0.46144671799613
7.7,0.8446882,10.4564322533137,0.2144292,7919787223042.84,0.492409981935215
7.8,0.9034432,10.404499263623,0.2282052,8428596085672.08,0.524044993811139
7.9,0.9628267,10.3631634756996,0.242239,8946924519940.92,0.556271881701791
8,1.033701,10.2232555228277,0.2565593,9475834416543.57,0.589156668287182
8.1,1.102024,10.1269329896907,0.2709397,10006966026587.9,0.622179589123515
