Voltage,Current density,External Quantum Efficiency,EL Intensity/Detector output,Photons/s/sr,Radiance
V,mA/cm\+(2),%,V,,W Sr\+(-1)m\+(-2)\+()\+()
0,-5.127924E-4,--,2.770869E-5,1021891076.69617,6.41683637121985E-5
0.1,-9.055964E-4,--,2.583885E-5,952931733.038348,5.98381485394663E-5
0.2,-4.482027E-4,--,4.789009E-6,176617750.737463,1.10904893151559E-5
0.3,-3.493936E-4,--,6.951468E-6,256368820.058997,1.60983573153405E-5
0.4,-5.131564E-4,--,1.163354E-5,429042758.112094,2.69411998778098E-5
0.5,-9.679165E-4,--,8.786471E-6,324043311.20944,2.03478917923606E-5
0.6,-7.54029E-4,--,2.348385E-5,866079845.132743,5.43843935754478E-5
0.7,-3.689348E-4,--,2.959535E-5,1091470796.46018,6.85375346215335E-5
0.8,-4.69456E-4,--,2.500127E-5,922042064.896755,5.78984707152239E-5
0.9,-4.746211E-4,--,2.600366E-5,959009808.259587,6.02198136213531E-5
1,-7.668997E-4,--,2.346152E-5,865256224.188791,5.43326753351209E-5
1.1,-3.812877E-4,--,2.57968E-5,951380936.578171,5.97407682280324E-5
1.2,-4.598201E-4,--,3.095727E-5,1141698156.34218,7.16914984545794E-5
1.3,-8.919809E-4,--,3.004122E-5,1107914454.27729,6.95700934133948E-5
1.4,-3.750731E-4,--,2.304219E-5,849791592.920354,5.33615932828963E-5
1.5,-2.055441E-4,--,2.620393E-5,966395648.967552,6.06835981906452E-5
1.6,-4.980759E-4,--,3.159655E-5,1165274557.52212,7.31719488865671E-5
1.7,-5.829619E-4,--,3.213135E-5,1184997935.10324,7.44104535522015E-5
1.8,-2.989235E-4,--,2.44122E-5,900316917.40413,5.65342674280055E-5
1.9,-4.405851E-5,--,2.582197E-5,952309151.917404,5.97990543417381E-5
2,-4.184059E-4,--,2.248791E-5,829349859.882006,5.20779803906561E-5
2.1,-7.169929E-4,--,1.695628E-5,625344100.294985,3.92676955382956E-5
