Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
330,0.58015,0.59314,0.57032,0.55207,0.54588,0.58212,0.60494
330.5,0.58059,0.59221,0.57097,0.55233,0.5462,0.58106,0.60484
331,0.58115,0.59259,0.57119,0.55246,0.54633,0.58024,0.60457
331.5,0.58115,0.59301,0.57159,0.55243,0.54691,0.57971,0.60443
332,0.58168,0.5924,0.5717,0.55217,0.54756,0.57968,0.60388
332.5,0.58201,0.5933,0.57101,0.55204,0.54807,0.57963,0.60269
333,0.58201,0.59343,0.57097,0.55158,0.54875,0.57963,0.60177
333.5,0.58245,0.59375,0.57137,0.55178,0.54949,0.57977,0.60157
334,0.58295,0.59388,0.57235,0.55162,0.55024,0.57934,0.60147
334.5,0.58306,0.59404,0.573,0.55204,0.55062,0.57906,0.60147
335,0.58295,0.59456,0.57347,0.55194,0.55182,0.57814,0.60136
335.5,0.58271,0.59443,0.5734,0.55122,0.55269,0.57732,0.60078
336,0.58192,0.59507,0.57307,0.55054,0.55373,0.57617,0.59983
336.5,0.58106,0.59526,0.57297,0.5495,0.55437,0.57502,0.5986
337,0.58004,0.59472,0.57253,0.54869,0.55427,0.57342,0.59782
337.5,0.5788,0.59414,0.57206,0.548,0.55427,0.57132,0.59693
338,0.57851,0.59359,0.5713,0.54726,0.55447,0.57065,0.59605
338.5,0.57824,0.59256,0.57065,0.54657,0.55463,0.56992,0.59486
339,0.57833,0.59163,0.57003,0.54618,0.55457,0.57034,0.59359
339.5,0.57851,0.59105,0.56949,0.54602,0.55492,0.57104,0.59182
340,0.57842,0.59002,0.56927,0.54638,0.55486,0.57171,0.59022
340.5,0.57918,0.58976,0.56836,0.54722,0.55502,0.57317,0.59012
341,0.57989,0.59002,0.5671,0.54911,0.55557,0.57356,0.58944
341.5,0.58077,0.58976,0.56594,0.55093,0.55586,0.57457,0.58923
342,0.58192,0.58996,0.56488,0.55393,0.55673,0.57578,0.59029
342.5,0.58324,0.59063,0.56507,0.55685,0.55821,0.5771,0.59049
