Wavelength / nm,Absorption in toluene
280,0.01029
280.5,0
281,0.01315
281.5,0.03116
282,0.03678
282.5,0.03375
283,0.02613
283.5,0.03161
284,0.04201
284.5,0.04865
285,0.04731
285.5,0.04334
286,0.04201
286.5,0.04531
287,0.04896
287.5,0.04862
288,0.04648
288.5,0.0451
289,0.04623
289.5,0.04752
290,0.04786
290.5,0.04641
291,0.04463
291.5,0.04465
292,0.04544
292.5,0.04634
293,0.04641
293.5,0.04601
294,0.04564
294.5,0.04569
295,0.04603
295.5,0.04596
296,0.04573
296.5,0.04614
297,0.04686
297.5,0.04786
298,0.04889
298.5,0.0493
299,0.04982
299.5,0.05072
300,0.05176
300.5,0.05289
301,0.05361
301.5,0.05458
302,0.05582
302.5,0.05733
303,0.05925
303.5,0.06069
304,0.06198
304.5,0.06338
305,0.06701
305.5,0.06875
306,0.07058
306.5,0.07238
307,0.07216
307.5,0.07437
308,0.07646
308.5,0.07883
309,0.08095
309.5,0.08287
310,0.08502
310.5,0.08687
311,0.08924
311.5,0.09192
312,0.09454
312.5,0.09747
313,0.10027
313.5,0.10295
314,0.1058
314.5,0.1081
315,0.11038
315.5,0.11266
316,0.11471
316.5,0.11737
317,0.11972
317.5,0.12197
318,0.12452
318.5,0.12676
319,0.12931
319.5,0.13192
320,0.13432
320.5,0.13664
321,0.13896
321.5,0.14108
322,0.14354
322.5,0.14623
323,0.14891
323.5,0.15155
324,0.1541
324.5,0.15679
325,0.15929
325.5,0.16216
326,0.16529
326.5,0.16845
327,0.17163
327.5,0.17461
328,0.17788
328.5,0.18122
329,0.18526
329.5,0.18953
330,0.1932
330.5,0.19684
331,0.20031
331.5,0.20399
332,0.20785
332.5,0.21191
333,0.21615
333.5,0.2205
334,0.22531
334.5,0.23039
335,0.2351
335.5,0.23993
336,0.24483
336.5,0.24948
337,0.25491
337.5,0.26024
338,0.26579
338.5,0.2715
339,0.27698
339.5,0.28273
340,0.28882
340.5,0.29546
341,0.30184
341.5,0.30814
342,0.31457
342.5,0.32111
343,0.32817
343.5,0.33571
344,0.34365
344.5,0.35148
345,0.35956
345.5,0.36714
346,0.37506
346.5,0.38316
347,0.39194
347.5,0.40153
348,0.41048
348.5,0.41976
349,0.42912
349.5,0.43871
350,0.44943
350.5,0.46035
351,0.47075
351.5,0.48142
352,0.4916
352.5,0.50166
353,0.5119
353.5,0.5223
354,0.53243
354.5,0.54259
355,0.55227
355.5,0.56129
356,0.56982
356.5,0.57801
357,0.58591
357.5,0.59313
358,0.59967
358.5,0.60504
359,0.61055
359.5,0.61564
360,0.62095
360.5,0.62645
361,0.6313
361.5,0.63627
362,0.64098
362.5,0.64622
363,0.65224
363.5,0.65969
364,0.66946
364.5,0.6811
365,0.69225
365.5,0.70461
366,0.71752
366.5,0.73099
367,0.74644
367.5,0.76237
368,0.77959
368.5,0.79811
369,0.81833
369.5,0.83935
370,0.85966
370.5,0.88021
371,0.90036
371.5,0.92035
372,0.9403
372.5,0.95779
373,0.9727
373.5,0.98436
374,0.99222
374.5,0.99745
375,1
375.5,0.99883
376,0.99357
376.5,0.98351
377,0.96866
377.5,0.95045
378,0.92974
378.5,0.90686
379,0.88139
379.5,0.8535
380,0.82279
380.5,0.7906
381,0.75903
381.5,0.72758
382,0.69628
382.5,0.66481
383,0.63164
383.5,0.59818
384,0.56578
384.5,0.5344
385,0.50529
385.5,0.47756
386,0.4508
386.5,0.4244
387,0.39823
387.5,0.37366
388,0.35031
388.5,0.32908
389,0.30976
389.5,0.29113
390,0.27332
390.5,0.25667
391,0.24135
391.5,0.22782
392,0.21545
392.5,0.20358
393,0.19187
393.5,0.18095
394,0.17132
394.5,0.16263
395,0.15487
395.5,0.14684
396,0.13885
396.5,0.13179
397,0.12561
397.5,0.12019
398,0.11516
398.5,0.11013
399,0.10532
399.5,0.10119
400,0.09761
400.5,0.09409
401,0.09054
401.5,0.08698
402,0.08384
402.5,0.08132
403,0.07929
403.5,0.07712
404,0.07468
404.5,0.07231
405,0.07031
405.5,0.06861
406,0.06724
406.5,0.06561
407,0.06387
407.5,0.0625
408,0.06121
408.5,0.06002
409,0.05846
409.5,0.0565
410,0.05471
410.5,0.05343
411,0.05264
411.5,0.05205
412,0.05126
412.5,0.05007
413,0.04869
413.5,0.04799
414,0.04745
414.5,0.04682
415,0.04607
415.5,0.04508
416,0.0442
416.5,0.04346
417,0.04253
417.5,0.041
418,0.0396
418.5,0.03867
419,0.03811
419.5,0.03791
420,0.0373
420.5,0.03621
421,0.0354
421.5,0.03484
422,0.03468
422.5,0.03454
423,0.03391
423.5,0.03287
424,0.03186
424.5,0.03127
425,0.03116
425.5,0.03134
426,0.03107
426.5,0.03023
427,0.02926
427.5,0.02852
428,0.02829
428.5,0.02841
429,0.02827
429.5,0.02773
430,0.02721
430.5,0.0271
431,0.02721
431.5,0.02708
432,0.02651
432.5,0.02577
433,0.02532
433.5,0.02527
434,0.02534
434.5,0.02507
435,0.0248
435.5,0.02459
436,0.02489
436.5,0.02525
437,0.02513
437.5,0.02475
438,0.02407
438.5,0.02369
439,0.02374
439.5,0.02403
440,0.02407
440.5,0.02396
441,0.02342
441.5,0.0229
442,0.0229
442.5,0.02299
443,0.02331
443.5,0.02351
444,0.02299
444.5,0.02249
445,0.02213
445.5,0.02207
446,0.02265
446.5,0.02308
447,0.02315
447.5,0.02292
448,0.02256
448.5,0.02252
449,0.0227
449.5,0.02292
450,0.02297
450.5,0.02272
451,0.02249
451.5,0.02263
452,0.02297
452.5,0.02335
453,0.02358
453.5,0.02342
454,0.02317
454.5,0.02317
455,0.02328
455.5,0.02322
456,0.02315
456.5,0.02286
457,0.02265
457.5,0.02272
458,0.02279
458.5,0.0229
459,0.02292
459.5,0.02286
460,0.0229
460.5,0.02286
461,0.02299
461.5,0.02315
462,0.02317
462.5,0.02328
463,0.02322
463.5,0.02304
464,0.02297
464.5,0.02277
465,0.02272
465.5,0.02263
466,0.02259
466.5,0.02272
467,0.02283
467.5,0.02304
468,0.0231
468.5,0.02317
469,0.02322
469.5,0.02337
470,0.02351
470.5,0.02344
471,0.02342
471.5,0.02324
472,0.02317
472.5,0.02317
473,0.02328
473.5,0.02331
474,0.02331
474.5,0.02337
475,0.02356
475.5,0.02374
476,0.02396
476.5,0.02394
477,0.02374
477.5,0.02365
478,0.02362
478.5,0.02387
479,0.02416
479.5,0.02423
480,0.0241
480.5,0.02389
481,0.0238
481.5,0.02389
482,0.0243
482.5,0.02455
483,0.02446
483.5,0.0243
484,0.02428
484.5,0.02448
485,0.02473
485.5,0.02473
486,0.02423
486.5,0.0238
487,0.02401
487.5,0.02462
488,0.02518
488.5,0.02541
489,0.02489
489.5,0.02428
490,0.0243
490.5,0.02486
491,0.02534
491.5,0.02532
492,0.02475
492.5,0.0241
493,0.0241
493.5,0.02486
494,0.02559
494.5,0.02568
495,0.02545
495.5,0.0248
496,0.02455
496.5,0.02489
497,0.02534
497.5,0.02554
498,0.02545
498.5,0.02511
499,0.02482
499.5,0.02493
500,0.02502
500.5,0.02518
501,0.02518
501.5,0.02513
502,0.02525
502.5,0.02541
503,0.02545
503.5,0.02538
504,0.025
504.5,0.02466
505,0.02437
505.5,0.0243
506,0.02466
506.5,0.02482
507,0.02482
507.5,0.02459
508,0.02423
508.5,0.02428
509,0.02459
509.5,0.02482
510,0.02473
510.5,0.02416
511,0.02369
511.5,0.02349
512,0.02369
512.5,0.02401
513,0.02416
513.5,0.0241
514,0.02374
514.5,0.02342
515,0.02331
515.5,0.02335
516,0.02335
516.5,0.02328
517,0.02299
517.5,0.02277
518,0.02277
518.5,0.0229
519,0.0231
519.5,0.02331
520,0.02344
520.5,0.02328
521,0.02308
521.5,0.02292
522,0.02292
522.5,0.02317
523,0.02335
523.5,0.02335
524,0.02315
524.5,0.02292
525,0.02297
525.5,0.02317
526,0.02342
526.5,0.02369
527,0.02365
527.5,0.02365
528,0.02387
528.5,0.02396
529,0.0241
529.5,0.02428
530,0.02423
530.5,0.02437
531,0.02466
531.5,0.02486
532,0.02502
532.5,0.02513
533,0.02511
533.5,0.02513
534,0.02532
534.5,0.02552
535,0.02568
535.5,0.02613
536,0.02604
536.5,0.02611
537,0.02638
537.5,0.02626
538,0.02671
538.5,0.02692
539,0.02683
539.5,0.02662
540,0.02631
540.5,0.02624
541,0.02651
541.5,0.02692
542,0.0271
542.5,0.0271
543,0.02696
543.5,0.02662
544,0.02658
544.5,0.02671
545,0.02671
545.5,0.02669
546,0.02644
546.5,0.02599
547,0.02561
547.5,0.02541
548,0.02532
548.5,0.02541
549,0.02532
549.5,0.025
550,0.02455
550.5,0.02396
551,0.02349
551.5,0.02315
552,0.02299
552.5,0.02283
553,0.02259
553.5,0.02231
554,0.02177
554.5,0.02125
555,0.02089
555.5,0.02037
556,0.02004
556.5,0.01963
557,0.01893
557.5,0.01819
558,0.01753
558.5,0.01688
559,0.01629
559.5,0.01595
560,0.01546
560.5,0.01491
561,0.01464
561.5,0.01428
562,0.01379
562.5,0.01342
563,0.01302
563.5,0.01254
564,0.01218
564.5,0.01189
565,0.01146
565.5,0.01106
566,0.01065
566.5,0.01013
567,0.00963
567.5,0.00934
568,0.00905
568.5,0.00875
