Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
550,5.53E-04,0.00108,2.83E-04,8.30E-04,0.00797,0.00113,0.00761
551,4.23E-04,0.00121,6.74E-04,0.00135,0.00755,0.00118,0.0071
552,3.24E-04,0.00119,9.49E-04,0.00106,0.00792,0.00125,0.00731
553,8.47E-04,8.77E-04,6.33E-04,0.00118,0.00593,0.00158,0.00428
554,5.69E-04,0.00115,9.36E-04,0.001,0.00536,7.17E-04,0.00436
555,4.42E-04,0.00133,0.00123,7.21E-04,0.0054,8.81E-04,0.0054
556,6.84E-04,0.00127,0.00139,0.00179,0.00517,0.00125,0.00616
557,6.39E-04,0.00119,0.00128,0.00165,0.00457,0.00114,0.0093
558,3.56E-04,0.00191,0.00119,5.75E-04,0.00549,0.0012,0.0055
559,3.43E-04,0.00149,0.00118,0.00113,0.00419,0.00181,0.00443
560,3.53E-04,0.00132,0.00154,5.36E-04,0.0045,0.00114,0.00204
561,7.15E-04,0.00141,0.00117,0.00128,0.0039,9.01E-04,0.00871
562,4.99E-04,0.00119,0.00144,0.00132,0.00461,0.00134,0.01096
563,6.05E-04,0.00167,0.00121,0.00105,0.00362,0.00113,0.005
564,8.91E-04,0.00142,0.0013,0.00105,0.00342,0.00131,0.0082
565,8.24E-04,0.00153,0.0013,0.00111,0.00335,0.00106,0.01008
566,6.26E-04,0.00157,0.00127,0.0013,0.00325,5.70E-04,0.00862
567,5.53E-04,0.00205,0.00167,0.00181,0.00284,3.34E-04,0.00845
568,6.97E-04,0.00186,0.00136,0.00152,0.00345,0.00113,0.00809
569,5.95E-04,0.00193,0.00127,0.00162,0.00267,8.55E-04,0.00759
570,7.45E-04,0.00221,0.0015,0.00179,0.00288,0.00142,0.00194
571,6.63E-04,0.00218,0.0021,0.00184,0.00285,9.92E-04,0.00312
572,5.45E-04,0.002,0.00235,0.00203,0.00402,0.00156,0.00186
573,3.93E-04,0.00156,0.00153,0.00163,0.0022,0.00159,0.00987
574,8.36E-04,0.00214,0.00151,0.00152,0.00192,0.00112,0.00538
575,9.36E-04,0.00144,0.00233,0.00147,9.59E-04,0.00151,0.00803
576,4.52E-04,0.00154,0.00206,0.00171,9.38E-04,8.52E-04,0.00791
577,7.77E-04,0.00165,0.00194,0.00211,0.00213,0.00147,0.00502
578,9.92E-04,0.00214,0.00209,0.00163,0.00136,9.99E-04,0.00662
579,7.56E-04,0.00188,0.00204,0.00162,0.00146,0.00136,0.009
580,0.00128,0.00154,0.00174,0.00161,0.00131,0.00159,0.00287
581,0.00125,0.00165,0.00252,0.00152,0.0024,0.00109,0.00333
582,0.00131,0.00215,0.00209,0.00176,0.0012,0.00166,0.00156
583,0.00129,0.00155,0.00174,0.00157,0.00114,0.00116,0.00158
584,0.00139,0.00156,0.00242,0.002,0.00178,0.00125,0.00592
585,0.00181,0.00181,0.00188,0.00183,0.0019,0.00173,0.00544
586,0.0016,0.00185,0.00168,0.00168,0.00173,0.00175,4.64E-04
587,0.00212,0.00151,0.00147,0.00142,0.00201,0.00128,0.00761
588,0.00208,0.0015,0.00173,0.00191,0.00219,0.00139,0.00299
589,0.0024,0.00225,0.00186,0.0014,3.77E-05,0.00148,0.00805
590,0.00238,0.00134,0.00145,0.00145,0.00133,0.00196,0.00255
591,0.00258,0.00134,0.00202,0.00163,0.00102,0.0014,0.00451
592,0.00262,0.00215,0.00211,0.00162,0.00203,0.00141,0.00508
593,0.00325,0.00179,0.00203,0.00212,1.26E-04,0.00231,0.00793
594,0.00371,0.00239,0.00238,0.00203,0.00187,0.00211,0.00331
595,0.00361,0.00189,0.00181,0.00192,4.40E-04,0.00115,0.00276
596,0.00434,0.00202,0.00225,0.00242,0.00113,0.00218,0.00432
597,0.00446,0.00186,0.0024,0.00251,0.00143,0.00161,0.00685
598,0.00533,0.00198,0.00228,0.00247,7.95E-04,0.00227,0.00202
599,0.00565,0.00221,0.0023,0.00288,0.00143,0.00193,0.00605
600,0.00705,0.00209,0.00259,0.00358,9.42E-04,0.00204,0.00297
601,0.00655,0.00306,0.00257,0.0039,0,0.00218,0.00516
602,0.00768,0.00294,0.00253,0.00317,0.00132,0.0033,0.0031
603,0.00926,0.00292,0.00327,0.00398,0.00144,0.00268,0.00742
604,0.01017,0.00343,0.00333,0.00426,0.0021,0.0025,0.00428
605,0.01193,0.0042,0.00384,0.0044,0.00155,0.00238,0.00571
606,0.01288,0.00395,0.00356,0.00455,0.00177,0.00342,0.00285
607,0.01421,0.00432,0.00376,0.00491,0.00229,0.0032,0.00873
608,0.01577,0.00495,0.00396,0.0056,0.00328,0.00386,0.00738
609,0.01729,0.00573,0.00436,0.00634,0.00243,0.00422,0.00306
610,0.01928,0.0054,0.00597,0.00684,0.00393,0.00506,0.00982
