Wavelength / nm,PL in toluene
510,0.00917
511,0.00856
512,0.00984
513,0.01215
514,0.01299
515,0.01225
516,0.01309
517,0.01679
518,0.01441
519,0.01635
520,0.01749
521,0.01579
522,0.01666
523,0.01658
524,0.02095
525,0.02055
526,0.02179
527,0.02364
528,0.02738
529,0.02882
530,0.03291
531,0.03762
532,0.04117
533,0.04728
534,0.05454
535,0.061
536,0.07002
537,0.07832
538,0.09131
539,0.10448
540,0.11663
541,0.13754
542,0.15473
543,0.17683
544,0.19957
545,0.22708
546,0.25428
547,0.29697
548,0.32514
549,0.36023
550,0.39815
551,0.44653
552,0.48275
553,0.53631
554,0.57021
555,0.62628
556,0.66888
557,0.71137
558,0.75417
559,0.79996
560,0.84754
561,0.88453
562,0.92135
563,0.93811
564,0.96248
565,0.97306
566,0.98169
567,1
568,0.99744
569,0.9805
570,0.9711
571,0.96804
572,0.93561
573,0.91634
574,0.89661
575,0.88502
576,0.84896
577,0.81641
578,0.78965
579,0.7706
580,0.73318
581,0.70335
582,0.68836
583,0.65451
584,0.62915
585,0.60384
586,0.58482
587,0.55739
588,0.53553
589,0.51909
590,0.50218
591,0.48951
592,0.47676
593,0.46317
594,0.44986
595,0.43523
596,0.42903
597,0.4271
598,0.41515
599,0.40583
600,0.39714
601,0.39513
602,0.40058
603,0.38128
604,0.37936
605,0.37297
606,0.37507
607,0.36479
608,0.36303
609,0.36067
610,0.35292
611,0.34274
612,0.34683
613,0.33108
614,0.32564
615,0.32469
616,0.31063
617,0.30295
618,0.28931
619,0.28789
620,0.27493
621,0.26753
622,0.26247
623,0.25468
624,0.24792
625,0.23494
626,0.23236
627,0.22086
628,0.21681
629,0.2048
630,0.19886
631,0.1897
632,0.18675
633,0.17826
634,0.1675
635,0.16582
636,0.15804
637,0.15168
638,0.14628
639,0.13765
640,0.13529
641,0.13212
642,0.12374
643,0.11934
644,0.11138
645,0.10968
646,0.10838
647,0.10163
648,0.10046
649,0.09606
650,0.09454
651,0.09039
652,0.08758
653,0.08872
654,0.0839
655,0.08116
656,0.07705
657,0.0767
658,0.07458
659,0.07424
660,0.07171
661,0.06818
662,0.06593
663,0.06336
664,0.06319
665,0.06053
666,0.0599
667,0.06025
668,0.05445
669,0.05231
670,0.05171
671,0.05355
672,0.05229
673,0.05026
674,0.04503
675,0.04571
676,0.0441
677,0.04375
678,0.04226
679,0.03708
680,0.03955
681,0.03722
682,0.03244
683,0.03473
684,0.03464
685,0.0316
686,0.03023
687,0.02799
688,0.03043
689,0.02633
690,0.02593
691,0.02471
692,0.02498
693,0.02387
694,0.02297
695,0.02099
696,0.02047
697,0.0189
698,0.01908
699,0.01821
700,0.01758
701,0.0163
702,0.01804
703,0.01614
704,0.01693
705,0.01526
706,0.01376
707,0.01262
708,0.01289
709,0.01164
710,0.01165
711,0.01236
712,0.01106
713,0.0105
714,0.01001
715,0.0105
716,0.01062
717,0.00932
718,0.00913
719,0.00738
720,0.00778
721,0.00728
722,0.00567
723,0.00727
724,0.00763
725,0.00628
726,0.00607
727,0.00774
728,0.00605
729,0.00535
730,0.0059
731,0.00597
732,0.00733
733,0.00589
734,0.00475
735,0.00567
736,0.00558
737,0.00497
738,0.00515
739,0.00579
740,0.00417
741,0.0046
742,0.00412
743,0.00457
744,0.00348
745,0.00361
746,0.00395
747,0.00395
748,0.00365
749,0.00514
750,0.00356
751,0.00325
752,0.00289
753,0.00599
754,0.00546
755,0.00404
756,0.00394
757,0.00333
758,0.00274
759,0.00266
760,0.00263
761,0.00329
762,0.00333
763,0.00257
764,6.48E-04
765,0.00301
766,0.00368
767,0.00266
768,0.00257
769,0.00267
770,0.00208
771,0.00115
772,0.00225
773,0.00191
774,0.00205
775,0.0023
776,0.00307
777,0.00194
778,0.00171
779,0.00258
780,0.00262
781,0.00181
782,0.00251
783,0.00225
784,0.00232
785,0.00194
786,0.00294
787,3.60E-04
788,0.00295
789,0.002
790,0.00229
791,0.0021
792,0.0029
793,0.0022
794,0.00202
795,0.00202
796,0.0019
797,0.00203
798,0.00174
799,0.00102
800,0.0021
801,0.00106
802,0.00168
803,0.00209
804,0.00157
805,0.00249
806,3.92E-04
807,0.00203
808,0.00211
809,0.00255
810,0.00226
811,0.00181
812,0.00117
813,0.00239
814,0.00201
815,6.16E-04
816,0.00212
817,0.00109
818,0.00336
819,0.00238
820,0.00179
821,0.00202
822,7.36E-04
823,0.0015
824,0.00299
825,0.00111
826,0.00246
827,0.00233
828,0.00222
829,0.00261
830,0.00119
831,0.00194
832,0.00286
833,0.0025
834,0.00108
835,2.40E-05
836,0.00248
837,0.0013
838,0.00154
839,0.00325
840,0.00145
841,0.00158
842,0.00332
843,0.00157
844,0.00134
845,0.00131
846,6.40E-04
847,0.00204
848,0.00242
849,0.00109
850,9.60E-04
851,0.00165
852,0.00135
853,0.00178
854,0.00122
855,4.96E-04
856,0.00181
857,0.00136
858,0.00116
859,0.0016
860,0.00186
861,1.60E-04
862,0.0015
863,2.96E-04
864,0.00159
865,0.00173
866,0.002
867,0.00206
868,0.00265
869,0.00277
870,0.00201
871,0.00361
872,0.00199
873,9.60E-04
874,8.80E-04
875,0.00248
876,0
877,0.0024
878,0.00106
879,0.00123
880,0.00298
881,0.00187
882,0.00143
883,0.00241
884,0.00226
885,7.92E-04
886,0.00106
887,0.00133
888,0.00134
889,0.00206
890,0.00152
891,2.88E-04
892,0.00133
893,0.0024
894,0.00152
895,0.00144
896,0.00138
897,0.00246
898,0.00147
899,0.0025
900,0.00172
